Rank	Cites	Item	Typically Cited In
179	18	Nagel T 1970 Possibility Altruism	Philosophical Review, Nous
179	18	Campbell J 2002 Reference Consciousn	Nous, Mind
179	18	Larson R 1995 Knowledge Meaning In	Nous, Mind
179	18	Martin C 1994 Philos Quart	Mind, Nous
179	18	Goldman A 1979 Justification Knowle	Nous, Philosophical Review
179	18	Kane R 1996 Significance Free Wi	Nous, Journal of Philosophy
179	18	Lewis D 1983 Philos Papers	Philosophical Review, Mind
179	18	Stanley J 2000 Mind Lang	Nous, Mind
179	18	Russell B 1912 Problems Philos	Nous, Mind
179	18	Sellars W 1963 Sci Perception Relai	Philosophical Review, Nous
179	18	Wiggins D 1968 Philos Rev	Philosophical Review, Nous
179	18	Evans G 1985 Collected Papers	Philosophical Review, Nous
179	18	Nozick R 1974 Anarchy State Tuopia	Nous, Journal of Philosophy
179	18	Hare R 1952 Language Morals	Nous, Philosophical Review
195	17	Russell B 1903 Principles Mathemati	Mind, Nous
195	17	Fodor J 1983 Modularity Mind	Journal of Philosophy, Nous
195	17	Armstrong D 1989 Combinatorial Theory	Nous, Philosophical Review
195	17	Field H 1980 Sci Without Numbers	Philosophical Review, Journal of Philosophy
195	17	Benacerraf P 1973 J Philos	Philosophical Review, Mind
195	17	Kripke S 1975 J Philos	Mind, Philosophical Review
195	17	Schiffer S 2003 Things We Mean	Nous, Mind
195	17	Vanfraassen B 1984 J Philos	Philosophical Review, Journal of Philosophy
195	17	Austin J 1962 Sense Sensabilia	Mind, Nous
195	17	Lewis D 1997 Philos Quart	Mind, Nous
195	17	Alston W 1989 Epistemic Justificat	Nous, Mind
195	17	Wright C 1983 Freges Conception Nu	Philosophical Review, Nous
195	17	Quine W 1986 Philos Logic	Mind, Nous
195	17	Davies M 1980 Philos Stud	Philosophical Review, Mind
195	17	Bratman M 1999 Faces Intentions	Philosophical Review, Nous
195	17	Widerker D 1995 Philos Rev	Philosophical Review, Journal of Philosophy
211	16	Pollock J 1986 Cont Theories Knowle	Nous, Philosophical Review
211	16	Shoemaker S 1994 Nous	Philosophical Review, Nous
211	16	Lewis D 1976 Philos Rev	Philosophical Review, Mind
211	16	Dummett M 1991 Frege Philos Math	Mind, Philosophical Review
211	16	Soames S 1988 Philos Topics	Mind, Nous
211	16	Aristotle No Year No Source	Nous, Philosophical Review
211	16	Mellor D 1995 Facts Causation	Mind, Philosophical Review
211	16	Davidson D 1972 Semantics Natural La	Mind, Philosophical Review
211	16	Hempel C 1965 Aspects Sci Explanat	Philosophical Review, Nous
211	16	Lewis D 1972 Australas J Philos	Philosophical Review, Nous
211	16	Chisholm R 1989 Theory Knowledge	Nous, Journal of Philosophy
211	16	Strawson G 1994 Mental Reality	Nous, Philosophical Review
211	16	Levine J 1983 Pac Philos Quart	Philosophical Review, Nous
211	16	Lycan W 1987 Consciousness	Nous, Philosophical Review
211	16	Woodward J 2003 Making Things Happen	Philosophical Review, Journal of Philosophy
